StreamID: 289
Parameters: FLOW_OUTcms, ORGN_OUTkg
Dates: 01/01/2001 - 12/31/2015



UTCoffset(sec)   Date(m/d/y)   FLOW_OUTcms   ORGN_OUTkg
1011484800       1/20/2002     4.826         0.0          
1011571200       1/21/2002     4.592         0.0          
1011657600       1/22/2002     4.656         0.0          
1011744000       1/23/2002     4.255         0.0          
1011830400       1/24/2002     4.074         0.0          
1011916800       1/25/2002     3.878         0.0          
1012003200       1/26/2002     3.703         0.0          
1012089600       1/27/2002     3.818         0.0          
1012176000       1/28/2002     3.467         0.0          
1012262400       1/29/2002     3.302         0.0          
1012348800       1/30/2002     3.232         0.0          
1012435200       1/31/2002     3.176         0.0          
1012521600       2/1/2002      3.034         0.0          
1012608000       2/2/2002      3.139         0.0          
1012694400       2/3/2002      2.876         0.0          
1012780800       2/4/2002      2.755         0.0          
1012867200       2/5/2002      2.621         0.0          
1012953600       2/6/2002      2.549         0.0          
1013040000       2/7/2002      2.471         0.0          
1013126400       2/8/2002      2.383         0.0          
1013212800       2/9/2002      2.309         0.0          
1013299200       2/10/2002     2.444         0.0          
1013385600       2/11/2002     2.229         0.0          
1013472000       2/12/2002     2.096         0.0          
1013558400       2/13/2002     2.014         0.0          
1013644800       2/14/2002     1.926         0.0          
1013731200       2/15/2002     1.847         0.0          
1013817600       2/16/2002     1.809         0.0          
1013904000       2/17/2002     1.802         0.0          
1013990400       2/18/2002     1.764         0.0          
1014076800       2/19/2002     1.728         0.0          
1014163200       2/20/2002     1.834         0.0          
1014249600       2/21/2002     1.651         0.0          
1014336000       2/22/2002     1.587         0.0          
1014422400       2/23/2002     1.523         0.0          
1014508800       2/24/2002     1.483         0.0          
1014595200       2/25/2002     1.449         0.0          
1014681600       2/26/2002     1.495         0.0          
1014768000       2/27/2002     1.584         0.0          
1014854400       2/28/2002     1.482         0.0          
1014940800       3/1/2002      1.276         0.0          
1015027200       3/2/2002      1.307         0.0          
1015113600       3/3/2002      1.175         0.0          
1015200000       3/4/2002      1.111         0.0          
1015286400       3/5/2002      1.013         0.0          
1015372800       3/6/2002      1.076         0.0          
1015459200       3/7/2002      1.104         0.0          
1015545600       3/8/2002      1.03          0.0          
1015632000       3/9/2002      0.998         0.0          
1015718400       3/10/2002     0.9104        0.0          
1015804800       3/11/2002     0.8403        0.0          
1015891200       3/12/2002     0.826         0.0          
1015977600       3/13/2002     0.7832        0.0          
1016064000       3/14/2002     0.829         0.0          
1016150400       3/15/2002     0.7644        0.0          
1016236800       3/16/2002     0.7204        0.0          
1016323200       3/17/2002     0.6741        0.0          
1016409600       3/18/2002     0.6475        0.0          
1016496000       3/19/2002     0.614         0.0          
1016582400       3/20/2002     0.5957        0.0          
1016668800       3/21/2002     0.6076        0.0          
1016755200       3/22/2002     0.577         0.0          
1016841600       3/23/2002     1.191         0.0          
1016928000       3/24/2002     1.277         0.0          
1017014400       3/25/2002     1.194         0.0          
1017100800       3/26/2002     1.191         0.0          
1017187200       3/27/2002     0.9805        0.0          
1017273600       3/28/2002     0.8711        0.0          
1017360000       3/29/2002     0.7965        0.0          
1017446400       3/30/2002     0.8171        0.0          
1017532800       3/31/2002     0.8368        0.0          
1017619200       4/1/2002      0.7865        0.0          
